,Date_Time,Temperature,Action1,Humidity,Ammonia_Gas_Level,Action2,Light,Action3,Water_Level,Action4,Cleaning
294,02/04/2019 09:07 AM,33,FanOff,52,60,ExhFanOFF,228,LightOFF,60,PumpOff,ProcessOFF
295,02/04/2019 09:06 AM,32,FanOff,51,59,ExhFanOFF,71,LightOFF,60,PumpOff,ProcessOFF
296,02/04/2019 09:05 AM,33,FanOff,52,59,ExhFanOFF,143,LightOFF,60,PumpOff,ProcessOFF
297,02/04/2019 09:05 AM,33,FanOff,52,60,ExhFanOFF,234,LightOFF,60,PumpOff,ProcessOFF
298,02/04/2019 09:04 AM,33,FanOff,52,60,ExhFanOFF,196,LightOFF,60,PumpOff,ProcessOFF
299,02/04/2019 09:04 AM,33,FanOff,52,59,ExhFanOFF,211,LightOFF,60,PumpOff,ProcessOFF
300,02/04/2019 09:03 AM,33,FanOff,52,59,ExhFanOFF,147,LightOFF,60,PumpOff,ProcessOFF
301,02/04/2019 09:02 AM,33,FanOff,52,59,ExhFanOFF,108,LightOFF,60,PumpOff,ProcessOFF
302,02/04/2019 09:02 AM,33,FanOff,52,60,ExhFanOFF,167,LightOFF,60,PumpOff,ProcessOFF
303,02/04/2019 09:01 AM,33,FanOff,52,60,ExhFanOFF,162,LightOFF,60,PumpOff,ProcessOFF
304,02/04/2019 09:01 AM,33,FanOff,52,60,ExhFanOFF,172,LightOFF,60,PumpOff,ProcessOFF
305,02/04/2019 09:00 AM,33,FanOff,52,60,ExhFanOFF,233,LightOFF,60,PumpOff,ProcessOFF
306,02/04/2019 08:59 AM,33,FanOff,52,60,ExhFanOFF,236,LightOFF,60,PumpOff,ProcessOFF
307,02/04/2019 08:59 AM,33,FanOff,52,60,ExhFanOFF,236,LightOFF,60,PumpOff,ProcessOFF
308,02/04/2019 08:58 AM,33,FanOff,52,60,ExhFanOFF,226,LightOFF,60,PumpOff,ProcessOFF
309,02/04/2019 08:58 AM,33,FanOff,52,59,ExhFanOFF,53,LightOFF,60,PumpOff,ProcessOFF
310,02/04/2019 08:57 AM,33,FanOff,52,60,ExhFanOFF,43,LightOFF,60,PumpOff,ProcessOFF
311,02/04/2019 08:56 AM,33,FanOff,52,60,ExhFanOFF,198,LightOFF,60,PumpOff,ProcessOFF
312,02/04/2019 08:56 AM,33,FanOff,52,60,ExhFanOFF,75,LightOFF,60,PumpOff,ProcessOFF
313,02/04/2019 08:55 AM,33,FanOff,52,59,ExhFanOFF,41,LightOFF,60,PumpOff,ProcessOFF
314,02/04/2019 08:55 AM,33,FanOff,52,59,ExhFanOFF,41,LightOFF,60,PumpOff,ProcessOFF
315,02/04/2019 08:54 AM,33,FanOff,52,59,ExhFanOFF,229,LightOFF,60,PumpOff,ProcessOFF
316,02/04/2019 08:53 AM,33,FanOff,52,60,ExhFanOFF,228,LightOFF,60,PumpOff,ProcessOFF
317,02/04/2019 08:53 AM,33,FanOff,52,59,ExhFanOFF,46,LightOFF,60,PumpOff,ProcessOFF
318,02/04/2019 08:52 AM,33,FanOff,52,60,ExhFanOFF,185,LightOFF,60,PumpOff,ProcessOFF
319,02/04/2019 08:52 AM,33,FanOff,52,60,ExhFanOFF,126,LightOFF,60,PumpOff,ProcessOFF
320,02/04/2019 08:51 AM,33,FanOff,52,60,ExhFanOFF,41,LightOFF,60,PumpOff,ProcessOFF
321,02/04/2019 08:50 AM,33,FanOff,52,60,ExhFanOFF,145,LightOFF,60,PumpOff,ProcessOFF
322,02/04/2019 08:50 AM,33,FanOff,52,60,ExhFanOFF,238,LightOFF,60,PumpOff,ProcessOFF
323,02/04/2019 08:49 AM,32,FanOff,52,60,ExhFanOFF,117,LightOFF,60,PumpOff,ProcessOFF
324,02/04/2019 08:49 AM,32,FanOff,54,57,ExhFanOFF,90,LightOFF,60,PumpOff,ProcessOFF
325,02/04/2019 08:48 AM,32,FanOff,54,60,ExhFanOFF,555,LightOn,100,PumpOff,ProcessOFF
326,02/04/2019 08:47 AM,32,FanOff,53,60,ExhFanOFF,39,LightOFF,60,PumpOff,ProcessOFF
327,02/04/2019 08:47 AM,32,FanOff,56,61,ExhFanOFF,284,LightOFF,60,PumpOff,ProcessOFF
328,02/04/2019 08:45 AM,32,FanOff,54,61,ExhFanOFF,558,LightOn,60,PumpOff,ProcessOFF
